"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"A1BG";197.624663187205;-0.252157098196652;0.328197327072911;-0.768309420571954;0.442303379190617;0.605401042795804
"A1CF";40.6240560678451;0.304614901265327;0.7388617748729;0.412275897366226;0.680137212830747;0.797451885520072
"A2M";10990.232162607;0.519639265046916;0.380721401529661;1.36488062651354;0.172290572293641;0.321493498926559
"A2ML1";81.1519012829069;-0.368992712948313;0.370833110570563;-0.995037127026174;0.319718207541886;0.488355666019406
"A2MP1";50.2197819529279;1.31647501953837;0.868193831978749;1.5163376783476;0.129433988916706;0.264004037119532
"A4GALT";779.469636944757;-2.25003654754359;0.557353768701706;-4.0369988935121;5.4139324100991e-05;0.000662107480372841
"A4GNT";5.74617641620069;1.28866886511079;1.7969042134596;0.717160578431556;0.473275020477404;0.632640550160948
"AAAS";171.110617707173;-2.12869516298564;0.784070376635248;-2.71492869316235;0.00662900420416032;0.0300739554773966
"AACS";826.572083108544;-0.402740410578435;0.2261139428772;-1.78113921438785;0.0748897108805289;0.181174235055952
"AACSP1";25.4490032484527;0.533620348056671;1.00736261175298;0.52972022371178;0.596305923986304;0.734844621106206
"AADACL2";46.6117845591094;0.462434757347618;1.12011068145182;0.412847377500441;0.679718437402455;0.797101459137682
"AADACL3";8.65255166901759;2.79989522415557;1.42572205743528;1.96384366051843;0.0495482250994497;0.135759005547936
"AADACP1";37.5551707048649;0.216570546433026;0.802434274555191;0.269891944175834;0.787243384898219;0.870900293557073
"AADAT";67.8689009436521;-0.758472156992221;0.518714978953438;-1.46221371613852;0.1436826541338;0.283442814445549
"AAGAB";557.04168743552;0.609209312527527;0.29265525405629;2.08166196944597;0.0373733567051129;0.111050987206015
"AAK1";2354.48632042862;0.967131935972487;0.285330407775909;3.3895158371345;0.000700161643991235;0.00516975176110216
"AAMDC";229.166713670189;-0.249101186713811;0.373026818202626;-0.667783587019475;0.504271744894755;0.658667606272906
"AAMP";386.521868437603;-2.70977861986311;0.612860454473537;-4.4215263035545;9.80061307953054e-06;0.000162886189381798
"AANAT";10.5480118011982;-0.345834394215715;1.33767349749508;-0.258534234896125;0.7959946311096;0.876672605075414
"AAR2";470.689687269926;0.929229750483201;0.292308526185898;3.17893481455359;0.00147817329320051;0.00936192066039727
"AARD";31.8220570423869;-1.53251262512811;0.583282262661854;-2.62739452788152;0.00860415108145688;0.0368559255087148
"AARS1";1072.55684578128;-0.624641521086809;0.286642864570837;-2.17916298744092;0.0293195624275489;0.0931871478972169
"AARS2";290.277318550338;-1.22206771059977;0.396365442468497;-3.08318430332609;0.00204798276045612;0.012095045358169
"AARSD1";156.568992679972;-2.72264609710085;0.369422031295201;-7.37001550111994;1.70608198073173e-13;2.50176530910634e-11
"AARSD1P1";67.3859518321295;0.539007513031945;0.763657468395967;0.705823664848206;0.480297803447382;0.637881027632322
"AASDH";240.643579145885;1.34916411922299;0.57409675610063;2.35006400033812;0.0187701833632075;0.0667771204059599
"AASDHPPT";366.996618270101;0.820944148063258;0.505632601709227;1.62359813288969;0.104461604209164;0.227436548340652
"AASS";1122.95151601852;1.16105176848124;0.378189918875564;3.07002305067591;0.00214042250658655;0.0125076432673197
"AATF";834.027531448855;-0.345415190535379;0.319585774991226;-1.08082154327695;0.279776503499069;0.44645021761378
"AATK";267.092394070238;-0.757639428381361;0.440911811844769;-1.71834686217955;0.0857333664722125;0.198752326039964
"ABAT";431.165884289061;0.588098825733611;0.360161049005483;1.6328773679373;0.10249479094929;0.224706618741634
"ABCA1";6231.01180841466;1.02156293939704;0.533307288793364;1.91552405313714;0.0554257046548204;0.147250599924835
"ABCA10";337.548873744709;0.483687811165913;0.778607381163734;0.621221713109084;0.534453754967996;0.684815013754045
"ABCA11P";40.5386294164678;0.341109634320579;0.918527446738552;0.371365750181738;0.710365131916803;0.818551059508957
